ID_Acquisto,Fornitore,Data_Acquisto,Materiale,Prezzo_Unitario,Quantità,Importo_Totale
ACQ-001,SwiftConstruct Supplies,07/03/2020,Coperture in tegole,15.77,111,1750.47
ACQ-002,EnviroStruct Innovations,03/03/2023,Sistema di riscaldamento a pavimento,312.11,57,17790.27
ACQ-003,InnoBuild Solutions,01/04/2021,Porte in legno massiccio,208.76,212,44257.119999999995
ACQ-004,EcoBuild Innovations,20/10/2020,Rivestimento in pietra naturale,42.72,116,4955.5199999999995
ACQ-005,Everlast Building Materials,12/10/2023,Scalini di granito,100.36,177,17763.72
ACQ-006,NexGen Construction Supply,03/07/2022,Impalcature,245.25,131,32127.75
ACQ-007,InnoGlobe Building Solutions,20/03/2020,Piastrelle in ceramica,31.59,485,15321.15
ACQ-008,Everlast Building Materials,09/02/2023,Piastrelle in ceramica,36.01,480,17284.8
ACQ-009,GreenHarbor Builders,29/10/2023,Calcestruzzo pronto,86.26,319,27516.940000000002
ACQ-010,EnviroStruct Innovations,11/07/2022,Pannelli solari termici,663.34,396,262682.64
ACQ-011,InnoGlobe Building Solutions,14/12/2022,Lastre di gesso,6.98,241,1682.18
ACQ-012,EliteBuild Innovations,20/02/2021,Impalcature,290.53,292,84834.76
ACQ-013,EcoBuild Innovations,11/01/2021,Finitura a gesso,28.01,366,10251.66
ACQ-014,Everlast Building Materials,22/02/2021,Finitura a gesso,10.99,250,2747.5
ACQ-015,NexGen Construction Supply,03/09/2022,Lastre di gesso,11.21,64,717.44
ACQ-016,InnoBuild Solutions,27/04/2021,Legname da costruzione,587.73,493,289750.89
ACQ-017,PrimeStone Construction Supplies,24/10/2023,Impalcature,250.0,420,105000.0
ACQ-018,EcoMaterials Group,03/05/2022,Pannelli solari termici,882.39,487,429723.93
ACQ-019,Pinnacle Builders Supply,15/05/2021,Isolamento termico,24.26,90,2183.4
ACQ-020,BuildTech Solutions,31/03/2020,Mattoni ceramici,0.43,132,56.76
ACQ-021,GreenHarbor Builders,11/11/2022,Cemento Portland,61.72,462,28514.64
ACQ-022,SwiftConstruct Supplies,11/09/2020,Scalini di granito,98.51,30,2955.3
ACQ-023,SwiftConstruct Supplies,13/08/2022,Calcestruzzo pronto,111.83,377,42159.909999999996
ACQ-024,EnviroStruct Innovations,03/12/2022,Rivestimento in pietra naturale,26.64,188,5008.32
ACQ-025,UrbanBuild Materials,04/07/2023,Cartongesso,8.29,125,1036.25
ACQ-026,UrbanBuild Materials,10/03/2022,Scalini di granito,71.04,126,8951.04
ACQ-027,SwiftConstruct Supplies,17/05/2022,Calcestruzzo pronto,99.59,254,25295.86
ACQ-028,UrbanBuild Materials,23/05/2022,Impalcature,402.17,458,184193.86000000002
ACQ-029,EnviroStruct Innovations,27/12/2021,Sistema di riscaldamento a pavimento,467.03,222,103680.65999999999
ACQ-030,InnoGlobe Building Solutions,05/07/2022,Porte in legno massiccio,279.87,287,80322.69
ACQ-031,MetroConstruct Distributors,09/08/2022,Pittura acrilica,28.4,61,1732.3999999999999
ACQ-032,TechStruct Supplies,28/01/2023,Scalini di granito,62.55,243,15199.65
ACQ-033,EcoMaterials Group,28/09/2021,Mattoni ceramici,0.37,484,179.07999999999998
ACQ-034,GreenHarbor Builders,04/04/2020,Cemento Portland,66.67,472,31468.24
ACQ-035,InnoConstruct Supplies,16/02/2022,Coperture in tegole,18.03,84,1514.52
ACQ-036,InnoGlobe Building Solutions,13/08/2020,Finitura a gesso,14.34,486,6969.24
ACQ-037,BuildTech Solutions,12/11/2021,Finestre in alluminio,93.68,123,11522.640000000001
ACQ-038,EcoBuild Innovations,11/04/2023,Piastrelle in ceramica,28.96,211,6110.56
ACQ-039,EcoMaterials Group,10/01/2023,Legname da costruzione,542.31,266,144254.46
ACQ-040,EcoBuild Innovations,30/08/2021,Pittura acrilica,44.03,161,7088.83
ACQ-041,PrimeStone Construction Supplies,08/09/2023,Porte in legno massiccio,214.32,440,94300.8
ACQ-042,SwiftConstruct Supplies,09/02/2023,Mattoni ceramici,0.24,326,78.24
ACQ-043,UrbanBuild Materials,24/01/2022,Ferro per armatura,1.61,431,693.9100000000001
ACQ-044,UrbanBuild Materials,07/05/2023,Calcestruzzo pronto,102.54,186,19072.440000000002
ACQ-045,EliteBuild Innovations,31/01/2023,Finestre in alluminio,179.71,406,72962.26000000001
ACQ-046,CityBuild Materials Co.,14/02/2021,Scalini di granito,106.21,429,45564.09
ACQ-047,BuildTech Solutions,12/08/2021,Mattoni ceramici,0.49,248,121.52
ACQ-048,PrimeStone Construction Supplies,09/11/2021,Pittura acrilica,45.85,480,22008.0
ACQ-049,InnoGlobe Building Solutions,16/12/2021,Sistema di riscaldamento a pavimento,685.37,437,299506.69
ACQ-050,EliteBuild Innovations,20/09/2021,Mattoni ceramici,0.36,206,74.16
ACQ-051,EcoBuild Innovations,18/11/2021,Legname da costruzione,302.7,438,132582.6
ACQ-052,EliteBuild Innovations,14/05/2021,Pannelli solari termici,614.95,341,209697.95
ACQ-053,HarborStone Builders,13/10/2022,Isolamento termico,27.32,467,12758.44
ACQ-054,EliteBuild Innovations,25/02/2023,Ferro per armatura,2.39,422,1008.58
ACQ-055,InnoConstruct Supplies,07/02/2021,Lastre di gesso,11.9,453,5390.7
ACQ-056,SwiftConstruct Supplies,22/02/2022,Impalcature,326.52,74,24162.48
ACQ-057,EnviroStruct Innovations,07/07/2021,Ferro per armatura,1.86,67,124.62
ACQ-058,Pinnacle Builders Supply,24/11/2020,Rivestimento in pietra naturale,44.86,499,22385.14
ACQ-059,ProStruct Materials,20/09/2020,Pittura acrilica,28.53,354,10099.62
ACQ-060,EcoBuild Innovations,18/08/2021,Cemento Portland,51.99,171,8890.29
ACQ-061,ProStruct Materials,08/09/2020,Isolamento termico,28.66,466,13355.56
ACQ-062,InnoGlobe Building Solutions,04/04/2020,Coperture in tegole,12.84,24,308.15999999999997
ACQ-063,EliteBuild Innovations,28/12/2020,Pannelli solari termici,905.69,70,63398.3
ACQ-064,TechStruct Supplies,06/12/2021,Isolamento termico,24.95,171,4266.45
ACQ-065,EliteBuild Innovations,24/07/2022,Rivestimento in pietra naturale,75.3,54,4066.2
ACQ-066,PrimeStone Construction Supplies,25/11/2022,Pannelli solari termici,678.28,248,168213.44
ACQ-067,BuildTech Solutions,21/05/2020,Pannelli solari termici,849.38,476,404304.88
ACQ-068,EcoMaterials Group,30/07/2021,Calcestruzzo pronto,102.23,29,2964.67
ACQ-069,EnviroStruct Innovations,21/07/2021,Pittura acrilica,35.51,314,11150.14
ACQ-070,SwiftConstruct Supplies,15/03/2021,Ferro per armatura,1.54,148,227.92000000000002
ACQ-071,SwiftConstruct Supplies,04/06/2020,Finitura a gesso,10.61,61,647.2099999999999
ACQ-072,BuildTech Solutions,09/11/2021,Rivestimento in pietra naturale,51.64,314,16214.960000000001
ACQ-073,InnoGlobe Building Solutions,26/09/2022,Isolamento termico,11.45,57,652.65
ACQ-074,ProStruct Materials,03/09/2021,Scalini di granito,64.7,298,19280.600000000002
ACQ-075,Everlast Building Materials,08/01/2023,Rivestimento in pietra naturale,59.96,416,24943.36
ACQ-076,BuildTech Solutions,27/08/2021,Tubazioni in PVC,6.78,189,1281.42
ACQ-077,EcoBuild Innovations,30/09/2020,Finestre in alluminio,96.47,58,5595.26
ACQ-078,ProStruct Materials,01/10/2023,Ferro per armatura,1.55,336,520.8000000000001
ACQ-079,UrbanBuild Materials,19/11/2021,Pannelli solari termici,567.78,396,224840.87999999998
ACQ-080,HarborStone Builders,03/05/2022,Legname da costruzione,399.71,365,145894.15
ACQ-081,CityBuild Materials Co.,30/12/2022,Calcestruzzo pronto,86.54,25,2163.5
ACQ-082,MetroConstruct Distributors,21/05/2023,Finestre in alluminio,86.96,36,3130.56
ACQ-083,HarborStone Builders,28/10/2020,Tubazioni in PVC,6.6,32,211.2
ACQ-084,NexGen Construction Supply,17/03/2020,Tubazioni in PVC,3.22,487,1568.14
ACQ-085,HarborStone Builders,26/09/2022,Cemento Portland,54.83,383,20999.89
ACQ-086,EnviroStruct Innovations,05/09/2022,Coperture in tegole,23.72,288,6831.36
ACQ-087,HarborStone Builders,07/04/2020,Piastrelle in ceramica,39.12,486,19012.32
ACQ-088,MetroConstruct Distributors,04/05/2021,Cemento Portland,77.86,443,34491.98
ACQ-089,EliteBuild Innovations,19/03/2022,Coperture in tegole,12.45,204,2539.7999999999997
ACQ-090,EnviroStruct Innovations,08/01/2020,Tubazioni in PVC,7.23,119,860.37
ACQ-091,EcoMaterials Group,24/01/2021,Isolamento termico,13.3,410,5453.0
ACQ-092,EnviroStruct Innovations,15/06/2021,Rivestimento in pietra naturale,58.52,122,7139.4400000000005
ACQ-093,TechStruct Supplies,22/09/2021,Calcestruzzo pronto,86.49,316,27330.84
ACQ-094,InnoGlobe Building Solutions,17/03/2021,Rivestimento in pietra naturale,48.85,262,12798.7
ACQ-095,Everlast Building Materials,15/01/2020,Legname da costruzione,342.44,132,45202.08
ACQ-096,EnviroStruct Innovations,03/01/2022,Piastrelle in ceramica,25.74,171,4401.54
ACQ-097,ProStruct Materials,13/11/2022,Finestre in alluminio,124.67,152,18949.84
ACQ-098,Pinnacle Builders Supply,04/06/2020,Legname da costruzione,583.08,323,188334.84000000003
ACQ-099,ProStruct Materials,29/06/2021,Pannelli solari termici,620.04,113,70064.51999999999
ACQ-100,CityBuild Materials Co.,15/12/2021,Isolamento termico,20.35,484,9849.400000000001
ACQ-101,InnoConstruct Supplies,12/04/2021,Pannelli solari termici,631.3,74,46716.2
ACQ-102,GreenHarbor Builders,16/01/2022,Pannelli solari termici,955.85,88,84114.8
ACQ-103,EliteBuild Innovations,29/09/2022,Cemento Portland,78.01,328,25587.280000000002
ACQ-104,SwiftConstruct Supplies,28/07/2021,Lastre di gesso,11.82,275,3250.5
ACQ-105,EliteBuild Innovations,20/11/2022,Coperture in tegole,24.06,117,2815.02
ACQ-106,Pinnacle Builders Supply,14/06/2022,Mattoni ceramici,0.43,228,98.03999999999999
ACQ-107,InnoBuild Solutions,14/08/2020,Impalcature,270.6,475,128535.00000000001
ACQ-108,BuildTech Solutions,23/01/2023,Isolamento termico,14.04,267,3748.68
ACQ-109,SwiftConstruct Supplies,18/03/2020,Lastre di gesso,9.92,155,1537.6
ACQ-110,Everlast Building Materials,14/11/2020,Piastrelle in ceramica,30.92,271,8379.32
ACQ-111,CityBuild Materials Co.,08/07/2022,Cemento Portland,51.51,491,25291.41
ACQ-112,EcoMaterials Group,02/08/2021,Coperture in tegole,16.66,95,1582.7
ACQ-113,EcoMaterials Group,28/01/2022,Ferro per armatura,1.36,278,378.08000000000004
ACQ-114,NexGen Construction Supply,04/04/2022,Lastre di gesso,6.55,38,248.9
ACQ-115,InnoConstruct Supplies,28/03/2022,Lastre di gesso,7.22,322,2324.84
ACQ-116,InnoGlobe Building Solutions,05/11/2021,Finestre in alluminio,108.0,345,37260.0
ACQ-117,ProStruct Materials,01/01/2023,Legname da costruzione,556.12,262,145703.44
ACQ-118,HarborStone Builders,30/05/2022,Impalcature,265.64,125,33205.0
ACQ-119,CityBuild Materials Co.,07/01/2020,Legname da costruzione,588.06,173,101734.37999999999
ACQ-120,InnoBuild Solutions,28/08/2020,Coperture in tegole,18.48,248,4583.04
ACQ-121,TechStruct Supplies,09/08/2021,Pittura acrilica,29.95,474,14196.3
ACQ-122,ProStruct Materials,20/12/2021,Ferro per armatura,1.77,197,348.69
ACQ-123,EcoBuild Innovations,02/01/2021,Calcestruzzo pronto,102.02,203,20710.059999999998
ACQ-124,BuildTech Solutions,28/04/2021,Scalini di granito,139.14,411,57186.53999999999
ACQ-125,UrbanBuild Materials,04/05/2020,Cemento Portland,93.33,196,18292.68
ACQ-126,CityBuild Materials Co.,11/10/2023,Rivestimento in pietra naturale,55.18,118,6511.24
ACQ-127,GreenHarbor Builders,09/11/2020,Pittura acrilica,21.91,124,2716.84
ACQ-128,Pinnacle Builders Supply,16/07/2021,Finitura a gesso,14.33,301,4313.33
ACQ-129,InnoConstruct Supplies,05/10/2022,Porte in legno massiccio,247.35,62,15335.699999999999
ACQ-130,InnoBuild Solutions,15/04/2023,Rivestimento in pietra naturale,30.82,265,8167.3
ACQ-131,EcoBuild Innovations,01/03/2020,Finestre in alluminio,124.66,370,46124.2
ACQ-132,CityBuild Materials Co.,23/11/2020,Scalini di granito,132.44,52,6886.88
ACQ-133,Pinnacle Builders Supply,21/03/2023,Rivestimento in pietra naturale,68.65,120,8238.0
ACQ-134,EnviroStruct Innovations,27/12/2022,Pannelli solari termici,625.13,149,93144.37
ACQ-135,TechStruct Supplies,17/05/2022,Cartongesso,13.73,214,2938.2200000000003
ACQ-136,NexGen Construction Supply,06/04/2022,Coperture in tegole,20.57,242,4977.9400000000005
ACQ-137,EcoMaterials Group,27/02/2020,Rivestimento in pietra naturale,29.93,487,14575.91
ACQ-138,Pinnacle Builders Supply,25/04/2023,Cartongesso,8.9,227,2020.3000000000002
ACQ-139,EnviroStruct Innovations,08/02/2022,Piastrelle in ceramica,39.6,177,7009.2
ACQ-140,PrimeStone Construction Supplies,04/04/2021,Cemento Portland,71.51,302,21596.02
ACQ-141,EcoMaterials Group,13/11/2023,Lastre di gesso,13.81,102,1408.6200000000001
ACQ-142,InnoGlobe Building Solutions,05/02/2022,Finitura a gesso,11.83,85,1005.55
ACQ-143,CityBuild Materials Co.,23/02/2023,Ferro per armatura,2.41,428,1031.48
ACQ-144,EcoMaterials Group,08/05/2021,Ferro per armatura,2.48,411,1019.28
ACQ-145,SwiftConstruct Supplies,15/05/2023,Cartongesso,11.91,145,1726.95
ACQ-146,SwiftConstruct Supplies,16/10/2020,Scalini di granito,88.08,135,11890.8
ACQ-147,GreenHarbor Builders,10/10/2022,Cartongesso,9.92,203,2013.76
ACQ-148,EnviroStruct Innovations,11/10/2023,Impalcature,256.89,163,41873.07
ACQ-149,BuildTech Solutions,19/01/2021,Scalini di granito,54.83,81,4441.23
ACQ-150,BuildTech Solutions,12/12/2023,Cemento Portland,70.77,62,4387.74
ACQ-151,EliteBuild Innovations,22/02/2023,Ferro per armatura,1.92,298,572.16
ACQ-152,InnoConstruct Supplies,24/10/2023,Legname da costruzione,395.31,483,190934.73
ACQ-153,EliteBuild Innovations,07/02/2020,Pannelli solari termici,745.4,111,82739.4
ACQ-154,TechStruct Supplies,21/07/2022,Impalcature,356.46,242,86263.31999999999
ACQ-155,EcoBuild Innovations,13/06/2023,Finestre in alluminio,145.18,46,6678.280000000001
ACQ-156,CityBuild Materials Co.,24/01/2023,Calcestruzzo pronto,111.72,422,47145.84
ACQ-157,BuildTech Solutions,13/06/2023,Isolamento termico,28.32,130,3681.6
ACQ-158,EliteBuild Innovations,22/10/2020,Cemento Portland,69.19,457,31619.829999999998
ACQ-159,CityBuild Materials Co.,18/12/2023,Isolamento termico,24.41,144,3515.04
ACQ-160,InnoBuild Solutions,27/04/2022,Rivestimento in pietra naturale,78.78,187,14731.86
ACQ-161,PrimeStone Construction Supplies,28/08/2020,Mattoni ceramici,0.31,348,107.88
ACQ-162,HarborStone Builders,27/07/2023,Cartongesso,13.67,347,4743.49
ACQ-163,ProStruct Materials,26/02/2023,Piastrelle in ceramica,25.18,40,1007.2
ACQ-164,InnoConstruct Supplies,14/05/2022,Legname da costruzione,506.89,493,249896.77
ACQ-165,InnoBuild Solutions,05/04/2023,Ferro per armatura,2.11,206,434.65999999999997
ACQ-166,InnoGlobe Building Solutions,03/10/2022,Cartongesso,13.3,459,6104.700000000001
ACQ-167,PrimeStone Construction Supplies,01/04/2020,Legname da costruzione,364.16,457,166421.12000000002
ACQ-168,PrimeStone Construction Supplies,05/12/2023,Calcestruzzo pronto,118.85,456,54195.6
ACQ-169,NexGen Construction Supply,20/01/2022,Pannelli solari termici,829.35,41,34003.35
ACQ-170,InnoConstruct Supplies,15/08/2021,Scalini di granito,149.08,104,15504.320000000002
ACQ-171,InnoConstruct Supplies,18/11/2022,Tubazioni in PVC,4.09,222,907.98
ACQ-172,EliteBuild Innovations,10/10/2021,Tubazioni in PVC,7.03,211,1483.3300000000002
ACQ-173,InnoGlobe Building Solutions,24/01/2021,Finestre in alluminio,180.79,152,27480.079999999998
ACQ-174,TechStruct Supplies,07/08/2021,Cartongesso,10.22,401,4098.22
ACQ-175,Everlast Building Materials,22/04/2022,Piastrelle in ceramica,19.51,474,9247.740000000002
ACQ-176,BuildTech Solutions,02/10/2020,Lastre di gesso,12.31,267,3286.77
ACQ-177,InnoConstruct Supplies,06/07/2022,Porte in legno massiccio,237.26,424,100598.23999999999
ACQ-178,CityBuild Materials Co.,26/02/2023,Sistema di riscaldamento a pavimento,493.18,183,90251.94
ACQ-179,UrbanBuild Materials,10/08/2022,Lastre di gesso,12.1,465,5626.5
ACQ-180,PrimeStone Construction Supplies,04/03/2020,Rivestimento in pietra naturale,58.69,342,20071.98
ACQ-181,SwiftConstruct Supplies,11/07/2021,Mattoni ceramici,0.23,61,14.030000000000001
ACQ-182,CityBuild Materials Co.,14/10/2020,Isolamento termico,17.68,171,3023.2799999999997
ACQ-183,InnoBuild Solutions,20/01/2020,Lastre di gesso,9.77,50,488.5
ACQ-184,Everlast Building Materials,16/10/2022,Ferro per armatura,1.75,474,829.5
ACQ-185,BuildTech Solutions,20/10/2023,Mattoni ceramici,0.4,425,170.0
ACQ-186,NexGen Construction Supply,01/03/2023,Pannelli solari termici,788.79,418,329714.22
ACQ-187,UrbanBuild Materials,24/08/2023,Mattoni ceramici,0.32,260,83.2
ACQ-188,EcoBuild Innovations,15/11/2021,Finestre in alluminio,174.67,73,12750.91
ACQ-189,Pinnacle Builders Supply,02/07/2022,Sistema di riscaldamento a pavimento,408.2,335,136747.0
ACQ-190,MetroConstruct Distributors,07/04/2023,Impalcature,223.07,319,71159.33
ACQ-191,TechStruct Supplies,11/02/2023,Porte in legno massiccio,274.69,461,126632.09
ACQ-192,EcoBuild Innovations,14/12/2021,Sistema di riscaldamento a pavimento,653.52,262,171222.24
ACQ-193,UrbanBuild Materials,04/02/2022,Legname da costruzione,393.68,401,157865.68
ACQ-194,EliteBuild Innovations,05/01/2022,Pittura acrilica,39.88,295,11764.6
ACQ-195,PrimeStone Construction Supplies,10/02/2021,Legname da costruzione,476.39,110,52402.9
ACQ-196,UrbanBuild Materials,17/02/2022,Mattoni ceramici,0.35,113,39.55
ACQ-197,NexGen Construction Supply,16/09/2023,Piastrelle in ceramica,25.3,429,10853.7
ACQ-198,PrimeStone Construction Supplies,21/04/2020,Impalcature,443.75,392,173950.0
ACQ-199,EnviroStruct Innovations,28/02/2020,Cemento Portland,67.67,374,25308.58
ACQ-200,EcoBuild Innovations,03/10/2022,Ferro per armatura,2.14,406,868.84
ACQ-201,PrimeStone Construction Supplies,02/11/2021,Finitura a gesso,27.11,265,7184.15
ACQ-202,Pinnacle Builders Supply,17/09/2020,Tubazioni in PVC,6.34,67,424.78
ACQ-203,TechStruct Supplies,07/05/2020,Finestre in alluminio,115.63,447,51686.61
ACQ-204,EnviroStruct Innovations,01/06/2023,Rivestimento in pietra naturale,73.13,63,4607.19
ACQ-205,EnviroStruct Innovations,03/11/2023,Sistema di riscaldamento a pavimento,346.06,85,29415.1
ACQ-206,EcoBuild Innovations,10/05/2021,Rivestimento in pietra naturale,68.38,47,3213.8599999999997
ACQ-207,EliteBuild Innovations,18/10/2020,Porte in legno massiccio,261.24,185,48329.4
ACQ-208,TechStruct Supplies,16/03/2020,Pannelli solari termici,659.32,486,320429.52
ACQ-209,InnoGlobe Building Solutions,26/09/2020,Coperture in tegole,11.11,182,2022.02
ACQ-210,Everlast Building Materials,16/03/2021,Mattoni ceramici,0.5,226,113.0
ACQ-211,InnoBuild Solutions,18/12/2021,Ferro per armatura,1.69,350,591.5
ACQ-212,EliteBuild Innovations,25/09/2023,Tubazioni in PVC,2.31,336,776.16
ACQ-213,PrimeStone Construction Supplies,03/06/2023,Pittura acrilica,23.26,23,534.98
ACQ-214,EcoBuild Innovations,10/02/2023,Scalini di granito,73.5,363,26680.5
ACQ-215,ProStruct Materials,06/07/2022,Isolamento termico,17.95,217,3895.1499999999996
ACQ-216,HarborStone Builders,05/06/2023,Cartongesso,11.63,92,1069.96
ACQ-217,Everlast Building Materials,02/09/2021,Isolamento termico,29.06,101,2935.06
ACQ-218,CityBuild Materials Co.,29/04/2022,Rivestimento in pietra naturale,20.03,153,3064.59
ACQ-219,SwiftConstruct Supplies,27/05/2021,Scalini di granito,78.96,200,15791.999999999998
ACQ-220,TechStruct Supplies,22/06/2021,Mattoni ceramici,0.49,288,141.12
ACQ-221,HarborStone Builders,09/10/2023,Cemento Portland,89.19,177,15786.63
ACQ-222,InnoBuild Solutions,10/07/2023,Pittura acrilica,32.18,82,2638.7599999999998
ACQ-223,GreenHarbor Builders,04/12/2023,Cemento Portland,75.79,188,14248.52
ACQ-224,CityBuild Materials Co.,17/06/2022,Finitura a gesso,17.07,405,6913.35
ACQ-225,EcoMaterials Group,23/11/2022,Tubazioni in PVC,3.45,428,1476.6000000000001
ACQ-226,EliteBuild Innovations,29/08/2023,Porte in legno massiccio,246.92,396,97780.31999999999
ACQ-227,EcoMaterials Group,30/10/2020,Cartongesso,10.99,232,2549.68
ACQ-228,SwiftConstruct Supplies,23/10/2021,Piastrelle in ceramica,17.11,217,3712.87
ACQ-229,NexGen Construction Supply,07/05/2023,Finitura a gesso,29.99,260,7797.4
ACQ-230,EliteBuild Innovations,06/09/2021,Tubazioni in PVC,2.1,113,237.3
ACQ-231,Everlast Building Materials,26/05/2022,Calcestruzzo pronto,86.87,126,10945.62
ACQ-232,MetroConstruct Distributors,27/06/2020,Isolamento termico,12.57,228,2865.96
ACQ-233,ProStruct Materials,09/01/2021,Tubazioni in PVC,5.35,215,1150.25
ACQ-234,EliteBuild Innovations,23/09/2022,Isolamento termico,14.9,397,5915.3
ACQ-235,EnviroStruct Innovations,18/07/2021,Mattoni ceramici,0.4,319,127.60000000000001
ACQ-236,MetroConstruct Distributors,18/09/2023,Ferro per armatura,2.0,363,726.0
ACQ-237,NexGen Construction Supply,03/07/2022,Mattoni ceramici,0.24,208,49.92
ACQ-238,EcoBuild Innovations,04/05/2022,Finestre in alluminio,195.99,60,11759.400000000001
ACQ-239,ProStruct Materials,22/12/2023,Cartongesso,11.53,473,5453.69
ACQ-240,Everlast Building Materials,22/07/2020,Lastre di gesso,10.25,459,4704.75
ACQ-241,PrimeStone Construction Supplies,22/09/2020,Lastre di gesso,14.62,307,4488.34
ACQ-242,CityBuild Materials Co.,09/10/2023,Lastre di gesso,11.96,279,3336.84
ACQ-243,PrimeStone Construction Supplies,04/04/2021,Lastre di gesso,8.27,375,3101.25
ACQ-244,PrimeStone Construction Supplies,25/01/2020,Impalcature,440.61,219,96493.59
ACQ-245,CityBuild Materials Co.,02/01/2020,Ferro per armatura,1.36,402,546.72
ACQ-246,MetroConstruct Distributors,11/09/2020,Piastrelle in ceramica,30.55,153,4674.150000000001
ACQ-247,EcoBuild Innovations,20/04/2021,Tubazioni in PVC,5.51,274,1509.74
ACQ-248,PrimeStone Construction Supplies,06/04/2021,Cartongesso,10.92,43,469.56
ACQ-249,CityBuild Materials Co.,15/05/2022,Pittura acrilica,41.45,364,15087.800000000001
ACQ-250,EnviroStruct Innovations,02/03/2021,Sistema di riscaldamento a pavimento,502.47,417,209529.99000000002
